City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
212,Alofi,NU,2020-04-18 01:24:51,-19.06,-169.92,84.2,70,4,12.75,light rain,0.17,0.0
213,Quatre Cocos,MU,2020-04-18 01:24:51,-20.21,57.76,75.2,78,40,3.36,scattered clouds,0.0,0.0
214,Laguna,US,2020-04-18 01:24:52,38.42,-121.42,62.6,59,1,16.11,clear sky,0.0,0.0
215,Ambanja,MG,2020-04-18 01:24:52,-13.68,48.45,74.35,80,74,3.94,light rain,0.23,0.0
216,Gimli,CA,2020-04-18 01:23:05,50.63,-96.99,50.0,35,89,3.0,overcast clouds,0.0,0.0
217,Eureka,US,2020-04-18 01:24:53,40.8,-124.16,55.99,79,9,7.0,clear sky,0.0,0.0
218,Lasa,IT,2020-04-18 01:24:53,46.62,10.7,48.0,53,98,1.25,overcast clouds,0.0,0.0
219,Tacna,PE,2020-04-18 01:24:53,-18.01,-70.25,68.0,77,40,6.93,scattered clouds,0.0,0.0
220,Zonguldak,TR,2020-04-18 01:24:54,41.25,31.83,49.3,64,100,2.73,overcast clouds,0.0,0.0
221,Nieuw Amsterdam,SR,2020-04-18 01:24:54,5.88,-55.08,80.01,83,64,4.7,broken clouds,0.0,0.0
222,Souillac,MU,2020-04-18 01:24:54,-20.52,57.52,75.2,78,40,3.36,scattered clouds,0.0,0.0
223,Arlit,NE,2020-04-18 01:22:31,18.74,7.39,84.78,11,0,7.81,clear sky,0.0,0.0
224,Touros,BR,2020-04-18 01:24:55,-5.2,-35.46,77.0,94,20,10.63,few clouds,0.0,0.0
225,Westport,US,2020-04-18 01:24:55,41.14,-73.36,42.8,75,90,4.7,light rain,0.0,0.0
226,Atikokan,CA,2020-04-18 01:24:55,48.76,-91.62,39.27,57,5,6.17,clear sky,0.0,0.0
227,Saint Anthony,US,2020-04-18 01:24:55,45.02,-93.22,46.99,30,1,8.05,clear sky,0.0,0.0
228,Vostok,RU,2020-04-18 01:24:56,46.49,135.88,46.72,48,99,2.33,overcast clouds,0.0,0.0
229,Asau,RO,2020-04-18 01:24:56,46.43,26.4,50.0,53,44,9.17,scattered clouds,0.0,0.0
230,Ust-Ishim,RU,2020-04-18 01:24:56,57.69,71.17,49.42,60,99,10.58,overcast clouds,0.0,0.0
