City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Alyangula,AU,2020-04-17 03:32:29,-13.85,136.42,89.6,62,40,6.93
231,Khatanga,RU,2020-04-17 03:32:26,71.97,102.5,10.53,91,0,14.27
232,Emerald,AU,2020-04-17 03:32:29,-23.53,148.17,91.0,33,0,5.82
233,Aykhal,RU,2020-04-17 03:32:30,66.0,111.5,8.6,60,91,4.47
234,Ambatofinandrahana,MG,2020-04-17 03:32:30,-20.55,46.8,52.41,61,31,4.38
235,Naryan-Mar,RU,2020-04-17 03:32:30,67.67,53.09,31.08,96,100,12.08
236,Kasongo-Lunda,CD,2020-04-17 03:32:30,-6.47,16.82,72.18,78,100,1.12
237,Taphan Hin,TH,2020-04-17 03:32:30,16.22,100.42,96.01,62,32,10.29
238,Talara,PE,2020-04-17 03:32:31,-4.58,-81.27,75.65,70,88,10.67
239,Abilene,US,2020-04-17 03:32:31,32.45,-99.73,68.0,59,1,23.04
240,Aksu,CN,2020-04-17 03:32:31,41.12,80.26,55.09,46,100,11.81
241,Clermont,FR,2020-04-17 03:27:47,49.5,2.42,57.2,93,40,3.36
242,Beinamar,TD,2020-04-17 03:32:32,8.67,15.38,80.11,16,21,3.89
243,Faanui,PF,2020-04-17 03:32:32,-16.48,-151.75,83.5,65,16,9.04
244,Tiksi,RU,2020-04-17 03:32:32,71.69,128.87,-1.55,91,99,6.93
245,Zhangye,CN,2020-04-17 03:32:32,38.93,100.45,57.72,17,100,1.32
246,Cherskiy,RU,2020-04-17 03:32:22,68.75,161.3,13.62,94,84,9.48
247,Deoband,IN,2020-04-17 03:32:33,29.7,77.68,90.55,18,97,13.18
248,Ballina,AU,2020-04-17 03:32:33,-28.87,153.57,91.4,35,21,11.41
249,Bouca,CF,2020-04-17 03:32:33,6.51,18.27,76.51,54,84,4.0
250,Broken Hill,AU,2020-04-17 03:32:34,-31.95,141.43,64.4,45,70,9.17
251,Fomboni,KM,2020-04-17 03:32:34,-12.28,43.74,83.23,71,87,8.01
252,Komsomolskiy,UZ,2020-04-17 03:32:34,40.43,71.72,59.0,67,46,3.58
253,Ishigaki,JP,2020-04-17 03:32:34,24.34,124.16,77.0,73,40,12.75
254,Clyde River,CA,2020-04-17 03:32:34,70.47,-68.59,-0.4,84,75,13.87
255,Yatou,CN,2020-04-17 03:32:35,37.15,122.38,57.06,51,0,14.94
256,Beckley,US,2020-04-17 03:29:01,37.78,-81.19,46.4,41,1,5.82
257,Aripuana,BR,2020-04-17 03:32:22,-9.17,-60.63,72.34,94,89,2.24
258,Westport,US,2020-04-17 03:28:18,41.14,-73.36,43.0,33,75,9.17
259,Palu,ID,2020-04-17 03:30:53,-0.89,119.87,92.05,50,10,2.37
260,Sambava,MG,2020-04-17 03:32:36,-14.27,50.17,74.39,87,57,8.08
261,Khash,IR,2020-04-17 03:32:36,28.22,61.22,57.07,46,17,6.33
262,Esperance,AU,2020-04-17 03:32:36,-33.87,121.9,71.6,46,0,6.93
263,Paita,PE,2020-04-17 03:28:48,-5.09,-81.11,75.4,67,30,13.02
264,Mandera,KE,2020-04-17 03:32:37,3.94,41.87,73.99,20,62,10.54
265,Katsuura,JP,2020-04-17 03:32:35,35.13,140.3,61.0,54,75,3.36
266,Tuatapere,NZ,2020-04-17 03:32:37,-46.13,167.68,51.01,85,85,3.0
267,Bethel,US,2020-04-17 03:32:38,41.37,-73.41,42.01,47,75,9.17
268,Biaora,IN,2020-04-17 03:32:38,23.87,76.92,91.45,16,99,12.73
269,Thinadhoo,MV,2020-04-17 03:32:38,0.53,72.93,84.49,70,6,4.43
270,Pevek,RU,2020-04-17 03:32:38,69.7,170.31,16.7,95,100,5.97
271,Batemans Bay,AU,2020-04-17 03:32:39,-35.72,150.18,72.0,56,4,7.0
272,Itaituba,BR,2020-04-17 03:32:39,-4.28,-55.98,74.37,93,91,0.25
273,Illapel,CL,2020-04-17 03:32:39,-31.63,-71.17,60.46,59,0,2.8
274,Sao Filipe,CV,2020-04-17 03:28:21,14.9,-24.5,71.29,77,55,16.87
275,Acapulco,MX,2020-04-17 03:31:30,16.86,-99.89,78.8,69,5,4.7
276,Deep River,CA,2020-04-17 03:32:40,46.1,-77.5,32.0,58,40,5.82
277,Taltal,CL,2020-04-17 03:32:40,-25.4,-70.48,64.47,64,0,3.06
278,Beyneu,KZ,2020-04-17 03:32:40,45.32,55.2,49.68,59,15,10.09
279,Strandby,DK,2020-04-17 03:32:40,57.49,10.5,43.03,66,0,11.34
280,Murgab,TM,2020-04-17 03:31:56,37.5,61.97,57.2,76,0,4.7
281,Manaure,CO,2020-04-17 03:32:41,11.78,-72.44,79.29,75,8,15.43
282,Telimele,GN,2020-04-17 03:32:41,10.92,-13.33,76.46,69,87,1.34
283,Mporokoso,ZM,2020-04-17 03:32:41,-9.37,30.12,61.81,65,94,5.88
284,Makakilo City,US,2020-04-17 03:32:42,21.35,-158.09,80.6,65,20,16.11
285,Astana,KZ,2020-04-17 03:31:41,51.18,71.45,50.0,53,0,4.47
286,Young,UY,2020-04-17 03:32:42,-32.68,-57.63,53.01,84,0,4.9
287,Coihaique,CL,2020-04-17 03:32:42,-45.58,-72.07,55.4,93,20,3.36
